id,role,feature
1,Group 1,The system must allow user registration.
2,Group 1,The system must automatically credit 100 points as an initial balance immediately after user registration.
3,Group 1,The system must allow a registered user to create a listing for an accommodation.
4,Group 1,The system must allow a user (guest) to submit a booking request for a selected listing.
5,Group 1,The system must enable the ability for hosts and guests to leave reviews for each completed and completed booking.
6,Group 1,The system must provide an integrated payment interface to allow users to purchase points.
7,Group 2,The system must not allow accommodation for more than 7 nights
8,Group 2,Students must provide their institutional email address during registration
9,Group 2,The system must verify the email provided through the corresponding university
10,Group 2,The system must manage the use of points
11,Group 2,The system must provide students with a certain number of points upon registration
12,Group 2,Students must be able to view their points balance
13,Group 2,Students must be able to view the bookings related to their room
14,Group 2,Students must be able to make a room available
15,Group 2,The system must require photos availability period address and cost in points per night for room publication
16,Group 2,Students must be able to view their room (if saved)
17,Group 2,Students must be able to edit the information of their room
18,Group 2,Students must be able to unpublish their room (saved not public)
19,Group 2,Students must be able to delete their room (if saved)
20,Group 2,Students must be able to view the reviews related to their room
21,Group 2,Students must receive the corresponding points when their room is used
22,Group 2,Students must be able to search for rooms
23,Group 2,Students must be able to filter the search by city and accommodation period
24,Group 2,Students must be able to view a room
25,Group 2,Students must be able to view a room’s reviews
26,Group 2,Students must be able to book a room
27,Group 2,Students must be able to cancel a booking
28,Group 2,Students must be able to reject a booking request for their room
29,Group 2,Students must be able to see the reviews related to the person booking the room
30,Group 2,The system must ensure that students have enough points to book a room
31,Group 2,The system must allow the addition of bonuses such as towels and others with an appropriate additional cost in points per night
32,Group 2,The system must retain 10% of the points paid by students
33,Group 2,Students can purchase points from UniRoomShare
34,Group 2,Points can only be used for room bookings
35,Group 2,Students can leave reviews for rooms
36,Group 2,Students can leave reviews for students
37,Group 2,Students must be able to see the reviews they have written
38,Group 2,Students must be able to edit the reviews they have written
39,Group 2,Students must be able to delete the reviews they have written
40,Group 3,The system must allow stays of up to 7 nights.
41,Group 3,The system must retain 10% of the points earned by the host per overnight stay.
42,Group 3,The system must allow the user to register on the app.
43,Group 3,The system must accept only registrations made through a university email.
44,Group 3,The system must assign x additional points for each linen supply.
45,Group 3,The system must provide a mechanism for earning points.
46,Group 3,The system must allow the host to specify the points per night.
47,Group 3,The system must assign the points obtained from the overnight stay to the host.
48,Group 3,The system must subtract the points specified by the host from the guest who uses the accommodation.
49,Group 3,The system must allow the user to purchase points.
50,Group 3,The system must not allow the user to sell points.
51,Group 3,The system must allow the host to upload photos of the property.
52,Group 3,The system must allow the host to provide the availability period.
53,Group 3,The system must allow the host to provide the address of the accommodation.
54,Group 3,The system must allow users to leave feedback.
55,Group 3,The system must allow users to view feedback.
56,Group 3,The system must allow the host to accept the guest.
57,Group 3,The system must allow the host to reject the guest.
58,Group 3,The system must not allow monetary transactions between host and guest.
59,Group 4,The system must require users to register using a university email address first name and last name in order to use it
60,Group 4,The system must assign 50 points to the user upon each new registration
61,Group 4,The system must require users to authenticate using their university email to access the system
62,Group 4,If the user does not have a university email or the university authentication system does not issue a token the system must consider the registration invalid
63,Group 4,The system must allow each user to register a bed/place to sleep
64,Group 4,The system must verify that the cost per night is between 0 and 30 points
65,Group 4,The system must allow the owner of a registered bed to modify it
66,Group 4,The system must allow each user to view the beds they have registered
